Municipality Name,County, Total,,,,,,,,,,,,,,,
National Park borough,Gloucester,19572030,,,,,,,,,,,,,,,
Neptune City borough,Monmouth,33414279,,,,,,,,,,,,,,,
Neptune township,Monmouth,265195814,,,,,,,,,,,,,,,
Netcong borough,Morris,55720031,,,,,,,,,,,,,,,
New Brunswick city,Middlesex,485864849,,,,,,,,,,,,,,,
New Hanover township,Burlington,68463050,,,,,,,,,,,,,,,
New Milford borough,Bergen,78558342,,,,,,,,,,,,,,,
New Providence borough,Union,112199075,,,,,,,,,,,,,,,
Newark city,Essex,2438769639,,,,,,,,,,,,,,,
Newfield borough,Gloucester,17088205,,,,,,,,,,,,,,,
Newton town,Sussex,92690477,,,,,,,,,,,,,,,
North Arlington borough,Bergen,81867226,,,,,,,,,,,,,,,
North Bergen township,Hudson,269316953,,,,,,,,,,,,,,,
North Brunswick township,Middlesex,379351181,,,,,,,,,,,,,,,
North Caldwell borough,Essex,23606631,,,,,,,,,,,,,,,
North Haledon borough,Passaic,46894980,,,,,,,,,,,,,,,
North Hanover township,Burlington,45849110,,,,,,,,,,,,,,,
North Plainfield borough,Somerset,119175435,,,,,,,,,,,,,,,
Northvale borough,Bergen,40814351,,,,,,,,,,,,,,,
Norwood borough,Bergen,39066190,,,,,,,,,,,,,,,
Nutley township,Essex,163677088,,,,,,,,,,,,,,,
Oakland borough,Bergen,155232927,,,,,,,,,,,,,,,
Oaklyn borough,Camden,22415380,,,,,,,,,,,,,,,
Ocean Gate borough,Ocean,9504829,,,,,,,,,,,,,,,
Ocean township,Monmouth,233158635,,,,,,,,,,,,,,,
Ocean township,Ocean,56178906,,,,,,,,,,,,,,,
Oceanport borough,Monmouth,74727776,,,,,,,,,,,,,,,
Ogdensburg borough,Sussex,30302977,,,,,,,,,,,,,,,
Old Bridge township,Middlesex,429226308,,,,,,,,,,,,,,,
Old Tappan borough,Bergen,35675069,,,,,,,,,,,,,,,
Oradell borough,Bergen,58311851,,,,,,,,,,,,,,,
Oxford township,Warren,23508345,,,,,,,,,,,,,,,
Palisades Park borough,Bergen,119499410,,,,,,,,,,,,,,,
Palmyra borough,Burlington,43172200,,,,,,,,,,,,,,,
Paramus borough,Bergen,611964572,,,,,,,,,,,,,,,
Park Ridge borough,Bergen,62295240,,,,,,,,,,,,,,,
Parsippany-Troy Hills township,Morris,772395820,,,,,,,,,,,,,,,
Passaic city,Passaic,276614975,,,,,,,,,,,,,,,
Paterson city,Passaic,756477442,,,,,,,,,,,,,,,
Paulsboro borough,Gloucester,49760450,,,,,,,,,,,,,,,
Peapack and Gladstone borough,Somerset,30937994,,,,,,,,,,,,,,,
Pemberton borough,Burlington,10604710,,,,,,,,,,,,,,,
Pemberton township,Burlington,198736295,,,,,,,,,,,,,,,
Pennington borough,Mercer,30043515,,,,,,,,,,,,,,,
Pennsauken township,Camden,283465205,,,,,,,,,,,,,,,
Pequannock township,Morris,153990215,,,,,,,,,,,,,,,
Perth Amboy city,Middlesex,309262788,,,,,,,,,,,,,,,
